N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2342E3375073F;F;1967;28b;42400;Boulevard Pierre Joannon;ST CHAMOND;17418,5
2149E0691880R;D;1947;;49330;;MIRÉ;36599,8
2229E3091987T;C;2000;;29590;le Cosquer;LE FAOU;3555,4
2388E2857452M;C;;80;88380;Rue du 22 Septembre;ARCHETTES;5899,9
2106E0729305L;C;1948;20;06300;Rue Anatole de Monzie;NICE;4764,8
2222E3074709Y;F;1973;10;22140;Rue Anjela Duval;TONQUEDEC;15063
2331E2050159O;C;2014;3;31200;Rue Charlotte Delbo;TOULOUSE;3244,2
2141E0564727W;D;1947;18;41310;Rue du Bourg Joli;AMBLOY;18503,4
2235E3103173F;D;2011;54;35650;Mail Gaston Bardet;LE RHEU;5209,3
2357E0198206P;F;;28a;57800;Rue Peyerimhoff;FREYMING-MERLEBACH;46470,2
2172E0836175J;C;1957;;72100;;LE MANS;3897
2216E2639789A;D;2001;10;16410;Allée de la Sapinière;Fouquebrune;7001,1
2393E2428348R;B;2013;10;93290;Rue Yacine Kateb;TREMBLAY EN FRANCE;7702,6
2172E0838266U;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5595,7
2278E2343880H;E;1985;6;78120;Rue Chasles;Rambouillet;6400,9
2328E2031016E;C;2018;6;28190;Rue Maurice Dumais;COURVILLE SUR EURE, France;6049,9
2130E0797338A;C;1989;4;30300;Rue Etienne Courlas;FOURQUES;9110,1
2244E1940197S;C;1989;6;44000;Rue Général Buat;NANTES;2057,9
2393E3700911K;D;1975;4;93160;Avenue du Fort;Noisy-le-Grand;12760,7
2169E0680109S;D;1973;52;69230;Rue des Collonges;ST GENIS LAVAL;9984,9
2231E2224382K;D;1990;1;31100;du Marin;Toulouse;3092,8
2327E3822806D;B;;6;27120;Rue du Montaigu;FAINS;12523,1
2181E0564692B;C;2013;23;81660;Rue du Laousier;PONT DE LARN;14180,6
2278E2975012P;D;1983;;78570;.;ANDRESY;7946,2
2382E0067039R;B;;1439;82100;Chemin de Carrel;CASTELSARRASIN;4414,9
2114E0785700U;D;1982;2;14123;Rue du Four à Chaux;FLEURY SUR ORNE;19172,9
2210E1900286J;D;1976;4;10220;Rue du Moulin de la Gruyère;Piney;9685,8
2321E1302153S;D;2009;16;21800;Rue Marie Curie;QUETIGNY (N° : 133193);12841,5
2172E0832203P;C;1957;4;72100;Allee Tchaikovski;LE MANS;5347,6
2283E1701603N;D;2006;46;83500;Rue Arthur Rimbaud;La Seyne-sur-Mer;5414,9
2385E2467572Z;C;;;85500;le Chêne Vert;LES HERBIERS;5586,8
2172E0835345L;C;1957;;72100;;LE MANS;4438,4
2275E2712904K;G;1900;7;75016;Avenue Bugeaud;PARIS;10158
2371E1767838P;C;;7;71680;Rue de la Bergerie;CRÊCHES-SUR-SAÔNE;7210,1
2141E0775501O;E;1947;10;41700;Route du Bucher;CHEVERNY;40315
2294E1375307C;D;1945;;94420;.;LE PLESSIS-TREVISE;9911,2
2349E1760225Y;C;2012;21;49000;Rue Gustave Mareau;ANGERS;3727
2185E0837799I;D;1989;46;85120;Avenue du Huit Mai;LA CHATAIGNERAIE;28511,7
2251E3069343R;C;2012;14;51100;rue Jules Hansen;REIMS;8934,8
2377E2438244R;D;2005;13;77310;Rue Georges Charpak;SAINT-FARGEAU-PONTHIERRY;14352,2
2157E0842897I;F;1947;74;57820;Rue du 18 Juin;ST LOUIS;40314
2230E1585044L;D;1970;960a;30380;Route du Mas Rouge;Saint-Christol-lez-Alès;13915,5
2386E3704951N;C;;9;86440;Place des Vignes;MIGNE AUXANCES;11735,5
2177E0846266R;D;1992;25;77173;Rue Fernandel;CHEVRY COSSIGNY;21628,2
2213E1626862E;F;1945;56;13006;Rue Perrin Solliers;Marseille;7193,7
2337E1098030L;D;1982;17;37380;Rue de la Tour Carrée;ST LAURENT EN GATINES, France;20892,1
2120E0789748S;G;1972;;20230;Route des Marines;LINGUIZZETTA;32594,5
2272E2453603E;D;1948;9bis;72330;Rue Renee Auduc;Cérans-Foulletourte;5289
2383E0092212X;C;1963;118;83000;Impasse des Chardonnerets;TOULON;6249,3
2176E0742705N;F;1948;5;76130;Grande Rue;MONT-SAINT-AIGNAN;48062,7
2292E2732668F;D;1945;133;92240;Boulevard Gabriel Péri;MALAKOFF;1954,2
2348E1829626E;E;1948;51;48000;Rue Bellevue;MENDE;25665,1
2135E0840190J;D;1975;18;35540;Rue des Cytises;MINIAC MORVAN;21031,5
2244E2520831U;D;2005;1;44320;Rue des Islettes;ST PERE EN RETZ;7780,8
2394E2316040E;D;1972;4;94600;Rue Jean Jaures;CHOISY-LE-ROI;10580,2
2178E0689182A;E;1978;3;78790;Rue de la Mare Mitee;TILLY;35001,6
2251E1326965D;C;1979;2;51530;Carnot;Magenta;3562
2344E3139730Q;D;1965;157;44300;Boulevard Jules Verne;NANTES;7134,5
2156E0610515N;E;1948;52;56300;Avenue du General Leclerc;PONTIVY;34755,4
2292E1756851U;D;1989;;92600;.;Asnières-sur-Seine;6794,9
2393E0848772T;D;1948;42;93270;Avenue Pierre Curie;Sevran;7111,4
2140E0780116A;C;1960;131;40000;Avenue Pasteur;MONT DE MARSAN;22784,9
2211E1835611X;D;1991;;11430;Boulevard de la Sagne;Gruissan;4959,9
2356E3680264W;C;2014;4;56520;Rue Jeanne-Marie Le Bozec;GUIDEL;3045,8
2157E0656529I;E;1947;4;57790;Rue de lâ€™Eglise;HERMELANGE;36364,5
2229E1880076U;D;1968;;29590;rue de Roz ar Pont;PONT-DE-BUIS-LES-QUIMERCH;9296,9
2378E1569600I;D;2002;4;78730;Rue de l'Oisellerie;SAINT ARNOULT EN YVELINES;12818,8
2127E0539464R;C;2006;41bis;27830;Rue Sylvain Sénécaux;NEAUFLES ST MARTIN;11543,1
2237E0780410G;D;1992;58;37100;Rue du Président Coty;TOURS;2966,5
2334E1724256Y;A;;1;34670;Rue Honore Daumier;BAILLARGUES;4008,2
2172E0830884W;C;1957;4;72000;Rue Béranger;LE MANS;5320,5
2233E1552248E;C;1998;126;33000;Cours de l'Argonne;BORDEAUX;3486,9
2340E0568087D;D;1800;1325;40120;Route de Mont-de-marsan;LACQUY;22634,5
2177E0616566B;E;1947;16;77910;Rue dâ€™Ortheuil;CHAMBRY, France;22847,3
2291E1658953L;C;1985;10;91330;Rue Pierre de Coubertin;YERRES;3449,6
2376E0863814Q;C;1954;18;76250;Rue Jean Mermoz;DEVILLE LES ROUEN;8928,3
2169E0638415C;E;1948;1;69140;Avenue Maurice Ravel;RILLIEUX LA PAPE;15600,4
2250E1601546X;C;1984;5;50630;Cour des Pays Bas;Quettehou;5309,6
2394E3807533H;C;2013;8;94400;AllÃ e Jean BÃ cot;VITRY SUR SEINE, France;5694,9
2177E0558819A;C;1989;50;77500;Rue Marcel Lestat;CHELLES;15984,3
2294E1569544T;F;1945;57;94300;du Commandant Mowat;Vincennes;4573,1
2359E3171017O;C;;;59500;Rue Auguste Evain;DOUAI;3890,3
2172E0837389B;C;1957;;72100;;LE MANS;5412,6
2251E1942093X;E;1945;72;51100;rue Brûlée;REIMS;5321,1
2342E3293070G;E;1967;26;42400;Boulevard Pierre Joannon;ST CHAMOND;859123,5
2180E0669892E;G;1947;14;80200;Rue d’Estrées;Bouvincourt-en-Vermandois, France;40098,5
2291E1576815H;C;1995;27;91130;Rue Albert Rémy;RIS-ORANGIS;5224,9
2374E0905787X;C;1986;195;74500;Impasse de lâ€ Abbaye;VINZIER;23544,2
2125E0672228X;D;1947;4;25150;Rue des Fontaines;ECOT;38801,4
2283E2995523R;B;1989;235;83100;Avenue Colonel Picot;Toulon;4415,3
2378E2644122C;D;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;20393,3
2180E0842895D;E;1985;17;80700;Rue du Quesnoy;PARVILLERS-LE-QUESNOY;39221,9
2291E2886797F;C;1978;;91140;Residence des Foulons;VILLEBON-SUR-YVETTE;3859,9
2382E3460417F;B;;;82100;les Estraqués;LAFITTE, France;11525,8
2178E0687053D;F;1971;5;78650;Rue du Chateau dâ€™Eau;BEYNES;42996,3
2244E0108290T;D;2009;475;44521;Impasse des Perrieres;Oudon;8014,8
2379E2969202F;D;;147;79000;Rue d'Antes;NIORT;19105,9
2168E0576114W;F;1947;52;68700;Rue de Soultz;UFFHOLTZ;37320,7
2244E0381186T;E;1945;9;44250;Avenue Mondain;ST BREVIN LES PINS;10844,6
2301E3018012N;D;2001;938;01570;Route de Chevroux;MANZIAT;7320,2
2129E0691393E;F;1948;50;29570;Route de la Pointe;ROSCANVEL;41741
2251E0856330U;G;1945;7;51100;Avenue de Paris;REIMS;4992,1
2376E3428779D;C;2010;12;76780;Rue des 3 Arpents;CROISY-SUR-ANDELLE;4696,1
2159E0655120F;E;1947;2;59770;Rue Salvador Allende;MARLY;18645,3
2241E1476261X;F;1945;13;41270;Rue du Dolmen;Ruan-sur-Egvonne;20883,2
2376E3939883Z;C;1957;20;76380;Avenue Pierre Corneille;CANTELEU;8878,8
2147E0771346Z;F;1947;;47600;;MONCRABEAU;51509,3
2244E1650016X;C;1985;;44260;Allée des Rouges-gorges;MALVILLE;5045,4
2322E3445393B;C;1975;;22100;Avenue de Bretagne;DINAN;7309,2
2176E0744987H;E;1947;30;76133;Rue Victor Petitpas;ROLLEVILLE;48798,2
2206E0188932X;C;1945;7;06130;Vieille Boucherie;Grasse;2029,7
2378E0890143J;C;1975;119;78300;Rue Saint Sébastien;POISSY;5996,8
2160E0553811T;D;1983;140;60250;Rue Fortin Hermann;HEILLES, France;24394,2
2213E1975980U;D;1989;;13310;Residence le Trident;SAINT-MARTIN-DE-CRAU;4298,9
2393E2317571A;C;2006;14;93390;Allée Etienne Laurent;Clichy-sous-Bois;11207,7
2179E0579524L;G;1948;;79150;;ARGENTONNAY;19996,4
2280E2336064T;D;1951;47;80470;Route Nationale;BREILLY;8610,1
2335E2701011M;B;2013;2;35000;Avenue Jacqueline de Romilly;RENNES;3592,8
2127E0538759O;D;1989;14;27140;Rue Pierre-Auguste Renoir;GISORS;19449
2275E1687629T;E;1945;24;75016;Avenue du Président Wilson;PARIS;10190,6
2322E1431552Q;D;1968;;01100;Rue Emile Ecuyer;DINAN;13252,8
2173E0802383S;D;1948;56;73190;Rue des Allobroges;CHALLES LES EAUX;38106,7
2262E0951193U;D;1961;24;62600;Rue de l’Impératrice;BERCK;4438,5
2324E1558261D;E;1971;1115;24100;Route de Georges;BERGERAC;26773,9
2167E0654086T;G;1947;22;67510;Route de Woerth;LEMBACH;92778,4
2271E2704816E;E;1989;7;71160;Rue du Marechal Ferrant;Rigny-sur-Arroux;5935,3
2316E2837387Z;D;1979;;16160;Rue Pascal;Gond-Pontouvre;9932,8
2185E0705651S;E;1947;10;85110;Rue de la Tuilerie;CHANTONNAY;19690,7
2217E3192805X;E;1945;21;17430;Rue de la République;Saint-Hippolyte;6084,3
2375E2241603M;D;1948;137;75013;Boulevard Auguste Blanqui;Paris;17668,8
2162E0813626S;C;1930;70;62300;Rue Emile Zola;LENS;13594,7
2237E2422018A;D;1989;5;37000;Rue de l'Hospitalité;TOURS;9628,3
2393E1426667M;C;1948;5;93600;Rue du Docteur Fleming;Aulnay-sous-Bois;8906
2189E0618523U;G;1947;10;89240;Rue des Terres-Forts;PARLY;39902,1
2256E2235941Y;C;2013;;56760;route de locbran;PENESTIN;8980,7
2380E1010984E;D;2000;12;80000;Impasse Retel;AMIENS;6878
2159E0646348V;E;1947;213;59410;Rue Jean Jaures;ANZIN;27701,3
2262E3054256V;E;1948;54;62200;Boulevard Sainte Beuve;BOULOGNE-SUR-MER;7995,9
2380E2274963T;C;2005;20;80580;Rue des Fauvettes;EPAGNE-EPAGNETTE;11241,2
2160E0676068Y;C;1947;29;60710;Grande Rue;HOUDANCOURT;13304,9
2283E0657202G;E;1961;47;83700;Avenue de la Source;SAINT-RAPHAEL;24372,4
2394E2798043T;G;1945;34;94600;Avenue Raymond Poincaré;Choisy-le-Roi;19200,9
2120E0679856C;B;2008;;20600;;FURIANI;6420,3
2292E1501860L;G;1945;5;92300;Rue Marjolin;LEVALLOIS-PERRET;6493
2314E1297781H;E;1933;36;14140;Rue Chasles;oldLivarot;15271,7
2144E0699249X;C;2006;24;44560;Rue de la Coralie;PAIMBOEUF;10177,7
2277E1581306M;C;2009;;77310;.;SAINT-FARGEAU-PONTHIERRY;3364,4
2334E3092620I;C;2015;191;34070;Avenue du Mondial de Rugby 2007;MONTPELLIER;3040,4
2135E0577746J;D;1947;15;35230;La Jaille;SAINT-ARMEL;21472,5
2277E2222601R;C;2007;3;77360;Allée des Bocages;VAIRES-SUR-MARNE;3765,9
2328E3569010U;F;1992;7;28630;Allee des Moities;Nogent-le-Phaye;12791,7
2172E0830870I;C;1957;4;72000;Rue Béranger;LE MANS;5089,1
2249E1348880Y;F;2002;;49440;Le Haut Coherne;CHALLAIN LA POTHERIE;3222,4
2373E1563458X;D;1900;62;73600;Rue des coccinelles;Moûtiers;5717,2
2158E0801140I;E;1948;16;58000;Boulevard Saint-Exupery;NEVERS;17658,7
2231E1033870M;D;2011;;31870;IMPASSE JEAN FERRAT;Lagardelle-sur-Lèze;7189,6
2335E0696664F;F;1945;11;35190;Rue de la Forge;TREVERIEN;7655,7
2172E0837690Q;C;1957;;72100;;LE MANS;6534,1
2292E1084197M;F;1945;112;92160;Avenue de la Division Leclerc;ANTONY;2892,5
2394E2493160M;B;2023;7;94460;Rue le Bois Cerdon;Valenton;1036,2
2185E0840787G;C;1947;;85300;;CHALLANS;25050,8
2247E1499009B;E;1945;1;47190;Rue Thiers appt N°10;Aiguillon;4543,6
2393E2602801K;D;1945;39bis;93320;Allée Danton;Les Pavillons-sous-Bois;2487,8
2154E0613541V;D;1948;1;54200;Rue du Château;PIERRE-LA-TREICHE;10779,7
2244E3039195W;B;2005;15;44490;avenue des mabons;LE CROISIC;4067,9
2363E3023367W;F;1978;2;63000;avenue des Landais;CLERMONT FERRAND;2603,7
2122E0361142Y;D;1948;;22800;1 RUE DU VAU DE GOUET;QUINTIN;45641,6
2233E0262887J;D;1945;18;33000;Rue Guynemer;Bordeaux;2066,1
2362E0333489Z;D;1945;2;62620;Rue de Tanger;Barlin;12218,5
2108E0090660G;E;1980;;08700;58 RUE DE LORRAINE;NOUZONVILLE;16256,9
2221E1525854O;E;1993;;21000;Voie du 21ème Siècle;Dijon;2430,4
2395E3087822D;C;1989;10;95140;Rue des Louvres;Garges-lès-Gonesse;5643
2163E0758617A;E;1947;2;63260;Chemin du Bouron;MONTPENSIER;26435
2213E2886314Q;C;1989;;13390;Marceau Julien;Auriol;4706,7
2351E2377917K;D;1978;1;51100;rue Jean de La Bruyère;REIMS;20872,7
2135E0789936N;C;1947;;35560;;Bazouges-la-Pérouse, France;16429,2
2225E2863112S;D;1948;2;25440;Grande Rue;Quingey;8010,1
2335E3882412Z;C;1991;13;35000;Rue Arthur Fontaine;RENNES;7520,1
2189E0790172R;E;1947;1;89310;Rue des Fossés;POILLY-SUR-SEREIN;145364,1
2244E2381957M;D;2006;9;44540;Rue d'Anjou (Saint-Mars-la-Jaille);SAINT-MARS-LA-JAILLE;7731,5
2383E2091753I;E;1945;14;83000;Rue Lamalgue;Toulon;4190,7
2188E0778072G;E;1948;8;88700;Rue Andre Pernet;RAMBERVILLERS;16388,2
2241E0187948K;E;1961;7;41100;Avenue de l'Ile de France;VENDOME;12564,5
2391E1418436V;C;1948;9;91000;Allée Victor Hugo;EVRY;9603,3
2142E0695837P;E;1947;19;42440;Route de l’Hermitage;NOIRETABLE;26308,3
2226E2316421E;D;2015;5;26290;Rue Viguerie;Donzère;4900,4
2335E1229070J;E;1989;23;35500;Rue de Panloup;TAILLIS;9587,5
2127E0820865U;D;1991;5;27720;Lotissement le Chaud Soleil;DANGU;17929,6
2256E1745504Z;C;2022;3;56130;Place Saint-Pierre;Marzan;2130,3
2363E0936449U;D;1945;7;63000;rue Michalias;CLERMONT FERRAND;2120,3
2172E0838308K;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;4482,1
2244E0286567O;D;2005;1;44119;Allée du frère yves;TREILLIERES;4865,6
2335E0434128R;C;2013;6;35135;Avenue de la Grotte;CHANTEPIE;5343
2174E0764030Q;G;1955;68;74700;Rue du Docteur Laffin;SALLANCHES;50714,8
2272E1099917I;C;1980;5;72350;Cours des Lilas;Saint-Denis-d'Orques;5054
2393E3075901O;C;2009;13;93100;Venelle de l’Amaryllis;Montreuil;9856,7
2172E0721368S;C;1989;6;72190;Impasse Lamartine;COULAINES, France;14891,6
2249E2834953P;B;2017;16;49000;Boulevard de Lavoisier;ANGERS;670,6
2322E1844907X;D;1957;11;22100;Rue du Clos Basnier;DINAN;4964,3
2138E0618481F;F;1947;15;38690;Chemin du Barril;CHÂBONS;32283,8
2135E1027408B;D;1986;;35190;Lotissement du Roset;MINIAC-SOUS-BECHEREL;6306,3
2393E3477276B;C;1975;10;93420;Rue Edison;VILLEPINTE;9956,9
2165E0633760X;C;1948;6;65400;Avenue de la Reine Nathalie;ARGELES GAZOST;40832,9
2214E3119115O;D;2015;49;14000;Avenue de la Côte de Nacre;CAEN;2263,3
2350E0448879P;B;2001;;50000;Rue Pierre Campain;SAINT-LO;3032,1
2188E0665569F;G;1947;40;88450;Rue des Tisserands;VINCEY;35126,5
2214E1784380P;D;1976;;14160;Résidence Les Courlis;Dives-sur-Mer;2730,4
2395E3087828J;C;1989;10;95140;Rue des Louvres;Garges-lès-Gonesse;7176,3
2172E0835539X;C;1957;3;72100;Allée Schubert;LE MANS;5635,7
2162E1026555H;D;1991;;62300;RESIDENCE WILLY BRANDT;LENS;3466,8
2236E3217031K;D;1973;29;36000;Rue Paul Verlaine;CHATEAUROUX;10720,2
2167E0609944Z;D;1989;19;67260;Rue des Peupliers;Keskastel, France;23477,5
2295E3041052G;D;1989;4;95410;Rue Jules Vincent;GROSLAY;9143,3
2275E3221716C;D;1935;8;75016;Place du Docteur Paul Michaux;PARIS;8001,5
2142E0159134E;D;1970;;42153;318 Rue Albert Thomas;RIORGES;15642,5
2238E1200252B;B;1976;;38470;Lieu dit Pré-chapotin;Vinay;6103,3
2391E2320471M;C;2006;;91940;Avenue des Champs Lasniers;LES ULIS;8110,2
2144E0749495L;C;1989;62;44340;Rue de la Couillauderie;BOUGUENAIS;15076,9
2242E3190776V;B;1948;;42160;RUE LAMARTINE / RUE RACINE;Andrézieux-Bouthéon;5428,4
2376E3062366I;C;1964;3;76700;Rue du Calvaire;HARFLEUR;8013,5
2167E0559176J;G;1947;21;67170;Rue Basse;BRUMATH, France;36468,4
2213E1311785V;C;1961;;13200;Rue des Sirènes;ARLES;8858,6
2367E1299765Q;D;1989;5;67300;Rue Saint-Charles;SCHILTIGHEIM;3323,5
2163E0383789O;D;2010;;63300;LIEU DIT SAPT;ESCOUTOUX;8357,3
2251E1713962Q;E;1958;;51100;Louis barthou;Reims;19779,7
2362E2309912G;E;1948;40;62230;Rue Marcel Sembat;OUTREAU;22080,1
2135E0602453Q;E;1947;7;35640;Avenue du Général de Gaulle;MARTIGNE FERCHAUD;76707,9
2285E0636931R;D;1972;16;85610;Rue de la Butte;CUGAND;16587,8
2364E1547495P;C;1977;;64200;Avenue Temerland;BIARRITZ;11155,5
2181E0813697E;E;1947;3;81110;Rue Ernest Durand;Massaguel;39438,6
2292E1225141K;C;1934;;92200;.;NEUILLY-SUR-SEINE;8228,5
2392E0912813V;C;1970;2;92000;rue des Sorbiers;Nanterre;4294
2172E0838225F;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;6990,3
2294E1578980R;C;1961;;94420;.;LE PLESSIS-TREVISE;7188,1
2314E3654756E;D;1956;7;14100;Rue Pierre Trebutien;Lisieux;10067,8
2136E0716269F;D;1948;3;36200;Rue Claude Bernard;ARGENTON SUR CREUSE;12081,1
2244E1387737G;D;1945;12;44760;Patis de la Rinais;LA BERNERIE EN RETZ;11109,9
2335E2459158L;D;1978;11;35550;Square des Loumettes;Lohéac;9734,9
2184E0720992S;D;1947;1448;84100;Route de Camaret;ORANGE;52089,3
2230E2152717A;D;1966;4;30700;Place Firmin Abauzit;Uzès;13329,9
2373E1268118R;D;1932;131;73400;Rue des Bauges;Ugine;14067,3
2126E0749481F;E;1947;4;26220;Impasse du Gue de la Rose;Dieulefit, France;17853,2
2262E0875355Y;D;1954;;62430;RES. D'ARTOIS SALLAUMINES;SALLAUMINES;11100
2336E1351468A;D;1957;;;;CHATEAUROUX;10648,4
2154E0631901Z;D;1947;6;54480;Rue de la Papeterie;CIREY SUR VEZOUZE;58614
2275E2776690S;E;1945;26;75016;de la Faisanderie;Paris;23954,5
2393E2354332X;C;2006;11;93500;Rue Gabrielle Josserand;Pantin;8041,5
2131E0764717K;D;1947;;31620;;FRONTON;27114,9
2227E0042806M;C;1961;135;27000;Avenue Aristide Briand;EVREUX;5365
2367E1843787O;D;1948;;67600;Rue de la Vancelle;SELESTAT;14942,6
